Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
mudlogger,it,decreasing,moderate,76532.61,high school,19,3028,2259,17.45,91.74,china,61.39
airline pilot,healthcare,decreasing,moderate,107635.32,bachelor’s degree,13,2175,2389,54.01,97.48,china,31.8
"social research officer, government",finance,increasing,low,110570.75,high school,2,1337,9568,86.17,78.2,brazil,66.73
air traffic controller,entertainment,increasing,high,58616.97,high school,14,7387,7205,64.18,37.75,uk,39.19
horticultural therapist,retail,decreasing,moderate,111377.76,high school,4,7154,2363,61.15,62.25,india,40.13
television production assistant,education,decreasing,low,103197.1,phd,2,2712,308,48.52,56.61,india,70.03
"engineer, building services",finance,decreasing,low,140370.83,high school,6,5718,2761,94.58,25.79,usa,23.28
marine scientist,education,decreasing,high,95112.01,high school,2,1250,9231,49.13,68.1,germany,74.38
"conservation officer, nature",healthcare,increasing,moderate,147141.42,bachelor’s degree,4,1913,6004,18.33,23.45,australia,51.13
operational researcher,entertainment,increasing,high,121034.28,phd,10,1813,9208,48.67,15.39,usa,67.33
investment analyst,retail,increasing,high,137378.62,high school,10,8511,9491,19.59,22.8,china,73.15
special educational needs teacher,manufacturing,decreasing,low,70432.75,high school,18,4759,8161,50.63,28.45,brazil,68.59
health promotion specialist,finance,decreasing,high,53791.86,high school,18,3495,4309,44.7,23.98,india,24.72
medical illustrator,retail,decreasing,high,42617.3,bachelor’s degree,16,7627,6841,27.82,10.47,brazil,20.12
forensic scientist,entertainment,increasing,moderate,33645.97,associate degree,4,6620,5597,54.53,17.63,india,37.56
advertising account executive,healthcare,increasing,low,141673.75,bachelor’s degree,15,9397,1215,87.61,9.01,australia,65.16
public house manager,retail,decreasing,high,46273.26,phd,10,3078,7696,89.15,91.31,australia,45.22
"accountant, chartered public finance",education,decreasing,low,84245.38,master’s degree,2,3179,3625,96.7,85.15,uk,25.18
"surveyor, building control",it,increasing,high,76557.59,associate degree,12,4975,4820,17.98,81.22,india,68.21
forensic psychologist,education,increasing,moderate,76526.44,high school,3,5818,8553,62.8,84.0,australia,57.62
aeronautical engineer,finance,increasing,high,72305.28,associate degree,3,7244,9849,11.41,24.09,uk,73.13
warden/ranger,healthcare,increasing,high,148390.9,master’s degree,19,1935,6845,90.94,47.36,australia,76.48
"scientist, product/process development",it,increasing,high,110258.69,master’s degree,5,2982,9852,71.86,63.95,australia,41.92
"merchandiser, retail",manufacturing,increasing,low,108691.66,high school,12,6050,4543,43.18,63.9,india,77.64
research scientist (physical sciences),education,decreasing,moderate,67655.96,phd,3,2218,7319,87.41,87.4,germany,79.47
television/film/video producer,retail,increasing,high,44385.72,master’s degree,2,9916,8693,29.42,77.37,brazil,27.48
product/process development scientist,retail,increasing,high,130697.26,phd,8,6934,9499,98.95,78.27,germany,37.21
teaching laboratory technician,finance,decreasing,low,98521.94,phd,12,860,4749,57.93,10.65,canada,55.43
"engineer, automotive",manufacturing,decreasing,high,72519.79,associate degree,16,3379,2930,55.05,93.86,australia,77.08
"scientist, product/process development",entertainment,increasing,low,142645.42,associate degree,8,3961,9635,27.28,49.5,germany,30.92
"education officer, community",healthcare,increasing,high,133328.31,associate degree,8,4132,2632,71.68,50.6,canada,67.43
insurance claims handler,manufacturing,decreasing,high,138842.46,associate degree,17,4605,7228,11.22,70.42,brazil,33.62
chief strategy officer,retail,increasing,moderate,84385.52,phd,11,2416,5644,98.58,7.29,uk,52.96
structural engineer,manufacturing,increasing,high,31094.55,high school,15,2849,1879,43.71,31.19,uk,34.63
proofreader,retail,increasing,moderate,82263.61,phd,10,3186,5223,15.91,35.54,uk,23.61
cytogeneticist,manufacturing,increasing,high,81593.08,associate degree,16,8403,9902,2.65,82.11,uk,51.85
"administrator, arts",entertainment,decreasing,moderate,40797.73,phd,10,6662,6627,43.43,62.94,australia,42.54
advertising account executive,education,decreasing,high,91625.9,phd,0,6662,2544,32.98,11.73,india,70.46
"research officer, trade union",finance,decreasing,moderate,111284.63,high school,11,773,5430,67.87,46.38,canada,72.72
armed forces training and education officer,manufacturing,increasing,moderate,64028.57,high school,14,4696,7778,0.08,98.37,australia,67.94
personnel officer,transportation,decreasing,low,51098.94,master’s degree,20,8108,462,9.25,24.93,canada,67.96
hydrogeologist,finance,decreasing,low,57909.3,master’s degree,11,685,9178,42.92,44.5,australia,65.17
"engineer, electronics",retail,increasing,high,111972.37,high school,5,2764,7394,80.27,29.32,india,60.53
"engineer, civil (contracting)",finance,decreasing,low,37645.12,master’s degree,2,150,8334,36.3,0.35,canada,77.4
trade mark attorney,transportation,decreasing,low,103148.88,bachelor’s degree,6,6946,4734,20.47,28.45,australia,50.76
location manager,education,increasing,low,130334.45,associate degree,17,3671,8083,60.49,90.03,china,32.01
public relations officer,healthcare,increasing,high,80913.86,master’s degree,2,3347,4430,86.35,24.45,usa,28.34
"conservation officer, nature",manufacturing,increasing,low,40311.73,bachelor’s degree,15,2760,3569,84.27,78.9,china,32.13
tour manager,healthcare,increasing,high,101983.72,bachelor’s degree,16,196,9656,77.28,77.39,usa,21.23
trade union research officer,finance,increasing,high,43583.13,bachelor’s degree,13,5742,7644,50.16,37.5,australia,77.22
"doctor, general practice",entertainment,decreasing,low,55207.48,bachelor’s degree,8,1032,8568,15.55,35.55,uk,20.74
community development worker,transportation,increasing,low,145366.69,phd,20,2640,7246,81.36,50.65,india,46.55
arts development officer,retail,increasing,high,78189.72,phd,20,2481,4900,92.66,94.32,usa,54.19
contracting civil engineer,healthcare,decreasing,low,49198.69,phd,6,9590,182,30.21,40.75,china,58.26
"designer, television/film set",finance,increasing,high,94172.83,high school,7,3891,1161,49.15,37.92,india,31.6
biomedical scientist,education,increasing,high,99128.93,associate degree,14,9440,1915,50.28,89.75,canada,39.82
senior tax professional/tax inspector,retail,decreasing,high,63817.63,high school,0,2511,3502,31.83,89.68,india,38.01
"designer, jewellery",entertainment,increasing,moderate,68433.69,bachelor’s degree,3,4240,3451,32.81,88.05,usa,38.78
banker,finance,decreasing,low,128468.26,phd,20,5316,2055,40.33,57.13,germany,46.45
product manager,healthcare,increasing,high,72873.87,associate degree,6,3216,5581,29.61,99.3,canada,28.02
advertising copywriter,finance,decreasing,high,92443.95,master’s degree,16,6965,5257,64.86,20.47,australia,71.03
interior and spatial designer,finance,increasing,low,100016.89,associate degree,8,7100,4588,74.72,48.92,canada,21.71
counsellor,finance,increasing,moderate,63490.69,master’s degree,6,7295,3436,91.34,82.09,india,39.31
chartered accountant,healthcare,decreasing,high,52716.57,high school,13,8303,3927,43.41,52.76,brazil,24.15
primary school teacher,entertainment,increasing,high,123468.31,associate degree,1,4706,9763,63.24,49.41,usa,61.4
astronomer,entertainment,decreasing,high,53924.36,phd,16,9456,1336,59.07,43.24,china,55.38
financial trader,finance,increasing,moderate,54699.28,phd,10,8549,7228,21.09,95.2,india,47.57
transport planner,manufacturing,decreasing,high,64526.65,phd,5,6352,7194,17.56,80.61,brazil,27.09
office manager,manufacturing,increasing,high,41590.16,bachelor’s degree,0,2977,7788,67.44,2.21,uk,60.86
psychiatric nurse,retail,decreasing,low,130226.89,associate degree,2,8728,5877,13.52,54.74,australia,34.1
special educational needs teacher,entertainment,decreasing,low,107158.31,associate degree,9,5172,4286,17.58,25.7,canada,77.53
marine scientist,retail,increasing,high,80292.14,associate degree,2,5619,3625,78.04,33.29,australia,70.36
land,entertainment,decreasing,low,138752.41,associate degree,6,9172,828,87.05,36.1,india,63.81
economist,healthcare,increasing,high,35987.0,bachelor’s degree,4,3171,1638,83.36,28.38,germany,38.77
electrical engineer,healthcare,increasing,high,58845.05,associate degree,7,8932,4137,66.33,50.01,india,63.27
estate manager/land agent,education,increasing,high,109700.19,associate degree,11,5583,7515,41.81,67.43,canada,61.3
"surveyor, mining",healthcare,increasing,moderate,111936.65,associate degree,8,7052,2200,23.94,5.28,brazil,60.58
site engineer,retail,increasing,low,60245.14,high school,6,181,6419,64.88,53.09,uk,59.21
"scientist, biomedical",it,decreasing,high,103047.9,high school,6,5593,7248,93.83,3.32,china,34.45
environmental consultant,retail,decreasing,high,133023.35,high school,9,6350,1909,56.13,49.09,india,68.62
information systems manager,manufacturing,increasing,moderate,122906.47,associate degree,13,8110,8890,59.75,5.07,canada,56.54
chartered legal executive (england and wales),it,increasing,high,115887.37,high school,18,9458,3827,26.45,35.37,canada,53.01
"lighting technician, broadcasting/film/video",it,decreasing,moderate,72194.66,associate degree,12,7411,9639,80.21,15.25,canada,79.65
maintenance engineer,healthcare,decreasing,low,115219.86,associate degree,3,6005,6864,34.77,30.01,usa,37.69
maintenance engineer,transportation,increasing,low,72058.83,master’s degree,19,1990,4869,68.49,79.18,germany,29.59
catering manager,finance,increasing,moderate,43133.44,associate degree,2,8295,3786,54.76,86.08,china,51.08
careers adviser,healthcare,decreasing,moderate,89465.07,associate degree,19,5252,5504,95.85,84.56,uk,43.47
chiropodist,healthcare,decreasing,high,81378.12,associate degree,6,8304,5549,88.92,41.5,germany,52.3
"nurse, mental health",manufacturing,increasing,high,59861.92,bachelor’s degree,20,4426,9117,11.09,27.17,germany,21.17
trade union research officer,finance,decreasing,high,47221.69,phd,7,4903,428,93.36,18.73,canada,45.91
clinical molecular geneticist,transportation,increasing,moderate,62575.89,associate degree,14,240,1640,89.87,91.88,brazil,49.53
civil service administrator,retail,decreasing,low,125971.24,bachelor’s degree,7,2322,7958,52.83,86.27,australia,62.74
"engineer, chemical",it,decreasing,low,32326.05,bachelor’s degree,16,8171,7805,10.55,86.38,germany,55.27
futures trader,transportation,decreasing,moderate,130958.74,phd,5,7341,3065,54.31,21.76,china,72.08
theatre director,manufacturing,increasing,low,37645.85,bachelor’s degree,17,5193,207,34.42,33.36,canada,59.94
pension scheme manager,it,decreasing,low,109025.56,high school,15,6343,2731,12.54,71.49,canada,43.07
social worker,healthcare,increasing,moderate,32750.69,master’s degree,8,4914,3777,45.94,53.06,usa,39.55
counsellor,healthcare,decreasing,moderate,127284.53,associate degree,4,1297,9551,86.9,83.77,canada,75.91
"civil engineer, contracting",entertainment,increasing,low,56111.07,bachelor’s degree,14,6743,8152,51.17,27.63,germany,67.12
"surveyor, mining",education,increasing,high,80211.15,phd,17,6858,410,65.99,90.61,china,29.15
futures trader,manufacturing,decreasing,moderate,131383.73,master’s degree,9,6547,1447,65.08,24.62,india,68.2
"journalist, newspaper",retail,decreasing,low,31350.93,phd,12,980,997,57.4,40.84,canada,35.3
chief operating officer,transportation,increasing,low,123029.76,phd,15,7282,5614,50.87,34.5,australia,26.36
forest/woodland manager,retail,increasing,low,140707.17,phd,17,170,2048,6.12,60.04,usa,24.5
geochemist,finance,increasing,low,132673.24,phd,0,4653,9270,7.56,44.04,china,28.16
"journalist, broadcasting",entertainment,decreasing,moderate,83729.17,associate degree,2,1654,6670,82.58,89.05,brazil,38.09
estate manager/land agent,retail,increasing,moderate,90039.33,phd,20,5824,1782,13.59,90.96,china,30.01
it sales professional,it,increasing,moderate,144077.67,master’s degree,16,7350,1510,58.47,33.54,australia,29.65
"designer, graphic",retail,decreasing,low,87625.65,high school,1,3916,6539,10.32,88.11,china,53.13
publishing copy,transportation,decreasing,low,148482.71,master’s degree,13,1815,1427,71.8,46.05,brazil,45.28
higher education lecturer,education,decreasing,high,57967.04,bachelor’s degree,20,2412,2403,15.63,62.59,usa,44.94
neurosurgeon,education,decreasing,high,50825.48,high school,19,7583,9013,12.22,97.27,india,72.84
contractor,healthcare,increasing,moderate,73488.5,master’s degree,1,3279,3425,91.01,88.12,usa,70.97
translator,healthcare,decreasing,high,120770.2,phd,11,1055,6237,49.39,44.98,usa,22.29
horticultural therapist,finance,decreasing,low,131423.03,bachelor’s degree,20,4918,7765,77.83,73.39,germany,33.39
"surveyor, mining",healthcare,decreasing,low,126632.15,high school,17,8691,6065,19.05,1.78,uk,43.36
"engineer, aeronautical",finance,increasing,moderate,139573.63,associate degree,20,5652,8643,85.92,95.52,uk,57.29
toxicologist,education,decreasing,high,105538.09,master’s degree,1,7856,5643,63.9,63.27,uk,20.22
"therapist, drama",finance,decreasing,low,75225.99,bachelor’s degree,11,8563,2495,34.15,95.07,india,28.28
"editor, film/video",healthcare,decreasing,moderate,39193.49,associate degree,17,581,8009,3.7,82.57,china,67.9
dramatherapist,retail,increasing,moderate,136745.61,bachelor’s degree,6,3713,3691,16.66,32.48,uk,47.22
operations geologist,manufacturing,increasing,moderate,37869.26,bachelor’s degree,20,3207,5818,53.13,97.74,australia,39.6
scientific laboratory technician,manufacturing,decreasing,moderate,111458.04,high school,20,6648,9895,10.77,30.86,brazil,28.17
clinical cytogeneticist,education,decreasing,low,88830.07,master’s degree,1,7478,4282,58.77,16.19,usa,42.63
information officer,retail,increasing,high,64658.71,phd,8,2038,6014,6.66,66.57,usa,47.5
pension scheme manager,entertainment,increasing,moderate,116170.7,phd,11,4598,5287,1.58,18.61,canada,24.8
"therapist, nutritional",transportation,decreasing,high,133470.36,master’s degree,3,9420,5488,3.21,53.22,india,65.19
tax inspector,entertainment,increasing,moderate,82241.01,phd,1,7410,9060,58.69,38.65,china,46.8
environmental education officer,finance,decreasing,moderate,142088.16,high school,15,6451,775,25.67,71.04,usa,51.06
chiropodist,manufacturing,increasing,moderate,74402.31,bachelor’s degree,17,2867,3952,70.34,37.23,australia,52.92
"engineer, site",manufacturing,decreasing,low,91927.44,phd,14,7229,5986,47.4,14.11,canada,22.87
commercial art gallery manager,transportation,decreasing,high,77808.16,high school,6,7044,4771,16.92,53.53,uk,33.22
technical brewer,retail,decreasing,moderate,71462.72,master’s degree,12,2670,5956,57.57,21.75,canada,46.39
chemical engineer,education,increasing,high,117864.46,master’s degree,12,4586,3832,43.29,29.89,china,49.88
"psychotherapist, child",retail,increasing,low,97861.41,master’s degree,6,4728,3440,42.06,31.49,australia,54.2
child psychotherapist,education,increasing,low,82598.54,bachelor’s degree,16,8109,5537,79.11,62.74,india,24.12
"engineer, electronics",healthcare,increasing,low,122417.36,high school,0,7373,2888,94.51,72.32,canada,29.25
media planner,education,decreasing,low,99321.78,master’s degree,17,2744,4047,2.44,20.02,usa,77.83
dispensing optician,entertainment,decreasing,high,37854.89,phd,6,6163,1014,66.66,82.23,brazil,26.48
statistician,transportation,decreasing,moderate,43836.74,phd,11,4245,480,33.76,27.99,uk,65.78
magazine journalist,it,decreasing,moderate,72227.61,bachelor’s degree,15,1333,307,47.05,73.25,germany,39.26
"journalist, magazine",entertainment,increasing,high,110814.92,bachelor’s degree,13,7924,2721,69.12,61.11,china,43.33
electronics engineer,finance,decreasing,high,92817.78,associate degree,3,8396,397,97.21,60.22,germany,47.37
print production planner,retail,increasing,moderate,124179.18,bachelor’s degree,3,8947,3369,97.99,42.59,brazil,48.9
armed forces operational officer,it,decreasing,high,89686.86,phd,17,3647,9153,34.06,39.39,australia,38.07
curator,finance,increasing,moderate,54678.13,master’s degree,18,4095,8275,85.39,19.55,usa,49.37
patent examiner,healthcare,increasing,moderate,148105.22,associate degree,12,3964,231,13.05,2.38,india,72.08
pensions consultant,entertainment,increasing,moderate,137164.43,high school,16,1806,4925,68.36,98.44,canada,78.01
outdoor activities/education manager,manufacturing,increasing,low,61231.29,high school,18,9565,4906,0.81,19.07,brazil,44.25
tourist information centre manager,retail,decreasing,moderate,129453.86,bachelor’s degree,13,4407,8400,44.9,48.23,australia,37.55
catering manager,transportation,decreasing,low,109004.82,phd,8,3929,8275,73.93,1.26,australia,40.64
osteopath,education,decreasing,high,51247.04,bachelor’s degree,20,9306,6496,31.0,28.45,china,69.26
contracting civil engineer,entertainment,increasing,moderate,117633.82,high school,10,824,5664,29.08,45.38,china,31.14
sport and exercise psychologist,it,decreasing,moderate,39187.31,master’s degree,20,6602,6543,86.82,15.94,canada,52.89
further education lecturer,it,increasing,moderate,129579.95,phd,14,9938,3537,69.0,75.07,brazil,26.72
tefl teacher,retail,decreasing,low,146074.99,high school,7,2698,1276,15.66,66.23,germany,76.67
mental health nurse,manufacturing,increasing,high,96437.85,phd,6,8275,3802,1.73,4.84,usa,65.65
educational psychologist,entertainment,increasing,high,75131.88,high school,8,3736,9083,26.49,13.24,usa,34.39
learning mentor,manufacturing,decreasing,moderate,127168.07,bachelor’s degree,0,7350,4207,70.8,70.79,brazil,44.64
interpreter,manufacturing,increasing,low,80597.81,associate degree,10,7756,7685,57.29,58.64,brazil,24.36
engineering geologist,retail,decreasing,moderate,52365.96,bachelor’s degree,9,3758,584,47.77,64.76,canada,53.04
chief financial officer,it,increasing,high,41715.96,bachelor’s degree,20,7599,7994,94.78,18.17,germany,77.31
dealer,healthcare,increasing,high,56886.1,high school,10,238,5699,14.0,21.61,brazil,34.78
intelligence analyst,education,increasing,high,117407.94,phd,14,2321,5358,9.62,27.04,usa,70.95
"administrator, civil service",finance,decreasing,high,113752.26,phd,9,8958,4566,32.02,6.41,usa,65.2
video editor,retail,increasing,moderate,70779.47,associate degree,2,9811,5961,39.66,62.36,india,45.88
"designer, exhibition/display",transportation,decreasing,high,70913.28,phd,8,731,7967,34.13,23.49,india,54.81
occupational hygienist,it,decreasing,low,108166.08,high school,0,3939,5327,35.51,76.43,usa,60.06
community education officer,it,increasing,high,81984.65,bachelor’s degree,16,2032,2625,37.68,30.22,canada,48.94
"civil engineer, consulting",finance,decreasing,moderate,136452.57,phd,18,2296,1763,14.67,71.18,china,26.03
restaurant manager,transportation,decreasing,low,112562.39,associate degree,6,7269,4927,21.53,15.74,india,78.87
fisheries officer,transportation,decreasing,moderate,36179.05,bachelor’s degree,16,6075,1510,42.48,85.74,uk,70.05
planning and development surveyor,manufacturing,decreasing,high,111781.46,bachelor’s degree,10,2598,2657,41.14,11.29,india,24.85
pathologist,retail,decreasing,low,68263.84,associate degree,14,9181,4714,86.79,94.0,australia,35.5
rural practice surveyor,entertainment,decreasing,low,72727.6,associate degree,11,1000,6428,1.69,31.8,uk,49.51
it trainer,it,increasing,high,125411.94,bachelor’s degree,1,1289,6644,40.06,54.4,uk,52.94
"engineer, maintenance",education,increasing,high,44096.2,associate degree,4,7348,1712,83.43,48.8,usa,75.97
community arts worker,retail,decreasing,low,147475.06,master’s degree,0,7161,9705,22.22,74.7,china,42.62
information officer,transportation,increasing,high,106443.2,phd,11,3721,2860,68.92,72.74,uk,67.15
midwife,entertainment,increasing,moderate,40600.03,bachelor’s degree,5,4163,2106,47.85,93.14,germany,23.56
building control surveyor,manufacturing,decreasing,moderate,87775.05,high school,19,5090,482,68.67,71.87,brazil,78.6
claims inspector/assessor,finance,increasing,moderate,50735.64,associate degree,13,8087,6705,19.58,17.83,usa,28.58
licensed conveyancer,finance,decreasing,moderate,92491.78,phd,5,2291,9255,29.41,79.81,china,42.55
dentist,education,increasing,moderate,47541.22,phd,8,3530,4243,11.16,91.68,usa,79.88
"surveyor, building",finance,increasing,high,33841.64,phd,1,9418,2149,11.22,62.97,uk,47.51
"engineer, manufacturing",manufacturing,increasing,high,117744.02,high school,20,428,205,97.21,61.03,germany,25.82
product designer,entertainment,increasing,high,62603.45,bachelor’s degree,0,9951,5718,34.98,12.84,china,60.2
insurance underwriter,finance,decreasing,low,72553.36,phd,11,7470,9603,6.22,92.56,australia,26.71
recruitment consultant,manufacturing,increasing,moderate,149904.64,phd,14,2887,6384,39.99,68.61,uk,24.11
careers information officer,healthcare,decreasing,high,60342.3,bachelor’s degree,17,4863,6799,90.21,18.62,germany,42.95
land,manufacturing,decreasing,moderate,132004.27,bachelor’s degree,10,4686,4981,3.94,19.75,uk,63.48
engineering geologist,transportation,decreasing,high,32701.01,phd,4,7694,6761,71.04,48.56,india,41.28
chartered legal executive (england and wales),it,increasing,low,98668.3,associate degree,15,7518,8514,79.06,28.13,uk,41.77
cartographer,manufacturing,increasing,moderate,104929.34,phd,15,6161,8784,43.38,54.12,germany,21.89
optometrist,finance,decreasing,low,147729.37,bachelor’s degree,6,1246,5318,90.49,60.2,china,35.52
video editor,entertainment,decreasing,moderate,132332.37,phd,18,4519,4505,26.67,44.15,uk,40.15
"engineer, site",education,decreasing,moderate,57124.8,associate degree,13,5444,1880,13.39,11.66,germany,37.64
"social research officer, government",it,decreasing,high,99467.63,high school,1,8426,1686,74.27,71.79,china,63.63
historic buildings inspector/conservation officer,healthcare,decreasing,moderate,122180.9,bachelor’s degree,6,1625,7408,44.25,59.14,australia,52.88
"teacher, secondary school",finance,increasing,moderate,124395.93,master’s degree,18,1863,4614,67.18,73.61,brazil,74.78
barista,it,increasing,high,148257.76,high school,11,1143,3391,76.52,76.72,canada,20.15
maintenance engineer,education,decreasing,moderate,84008.19,master’s degree,15,2187,6983,88.75,8.36,china,40.36
speech and language therapist,it,increasing,moderate,54828.05,high school,11,3077,8398,25.36,87.3,australia,69.89
sales promotion account executive,manufacturing,increasing,high,82492.45,phd,13,2235,2925,54.47,68.82,usa,51.9
"surveyor, rural practice",retail,increasing,high,95351.56,master’s degree,17,4431,4871,38.9,94.26,australia,35.83
planning and development surveyor,finance,decreasing,moderate,66995.41,high school,3,914,4702,7.99,62.37,india,76.91
personal assistant,it,decreasing,high,54921.39,high school,17,6019,7595,5.82,56.27,china,74.62
passenger transport manager,it,decreasing,high,125981.61,master’s degree,20,5269,170,61.46,79.28,germany,65.86
geophysical data processor,education,increasing,high,117443.51,master’s degree,8,1019,5598,67.48,80.52,usa,46.19
"teacher, special educational needs",healthcare,decreasing,moderate,79117.65,associate degree,7,9175,7179,77.08,20.9,china,70.84
office manager,it,decreasing,low,61718.27,phd,2,1842,880,73.2,30.55,india,51.93
"scientist, marine",it,increasing,moderate,84510.1,phd,16,4555,1921,66.52,15.33,brazil,29.17
"presenter, broadcasting",healthcare,increasing,low,70214.77,associate degree,17,9193,8870,55.95,15.45,india,66.4
"psychotherapist, child",entertainment,decreasing,high,141007.96,high school,0,1485,9664,6.43,3.45,china,46.96
hydrologist,healthcare,decreasing,low,122448.75,master’s degree,20,677,1410,51.92,86.6,usa,65.21
social worker,manufacturing,increasing,moderate,123048.51,high school,11,8601,2417,33.54,1.74,india,23.32
"scientist, clinical (histocompatibility and immunogenetics)",manufacturing,increasing,high,107223.43,master’s degree,2,1477,6109,63.25,18.88,canada,25.95
estate manager/land agent,healthcare,decreasing,low,88448.71,master’s degree,4,347,7310,68.38,58.91,usa,60.74
health physicist,manufacturing,decreasing,high,32594.67,bachelor’s degree,19,1158,1602,97.82,62.15,usa,57.88
licensed conveyancer,manufacturing,increasing,low,113726.85,phd,10,1278,1534,17.58,13.87,india,47.18
nutritional therapist,retail,decreasing,high,126135.23,associate degree,15,1142,4350,96.61,1.48,usa,66.34
wellsite geologist,transportation,decreasing,moderate,112742.55,master’s degree,2,3605,7332,43.35,84.9,usa,39.18
"engineer, civil (consulting)",education,increasing,high,112628.18,phd,3,4787,8016,88.88,16.21,india,79.73
forensic psychologist,entertainment,decreasing,moderate,58982.56,bachelor’s degree,20,6311,3319,68.72,20.22,india,63.66
fisheries officer,healthcare,increasing,moderate,92570.56,master’s degree,14,4828,3752,33.56,93.1,india,64.24
counselling psychologist,entertainment,decreasing,low,126967.12,high school,9,2004,7234,32.5,88.92,australia,70.85
"engineer, maintenance",transportation,increasing,high,112937.16,master’s degree,0,1903,8223,84.59,38.28,uk,35.14
scientific laboratory technician,healthcare,decreasing,high,134026.74,associate degree,2,5654,1940,90.06,17.09,india,42.79
pensions consultant,it,decreasing,low,30848.1,master’s degree,18,6649,903,73.94,16.61,australia,44.09
fitness centre manager,retail,decreasing,moderate,80472.84,associate degree,11,8383,4682,61.97,38.56,india,65.42
chief financial officer,healthcare,decreasing,high,76944.21,phd,13,4725,5429,63.08,76.34,india,26.9
homeopath,healthcare,increasing,low,106153.27,master’s degree,13,5574,7031,79.63,98.6,germany,52.92
town planner,entertainment,increasing,moderate,121585.5,associate degree,2,5381,2474,57.15,37.86,uk,64.72
print production planner,transportation,decreasing,moderate,42275.92,bachelor’s degree,2,4725,6320,30.64,79.85,india,21.28
"lecturer, further education",transportation,decreasing,moderate,128325.21,master’s degree,13,6624,3832,63.09,36.91,canada,35.86
therapeutic radiographer,entertainment,decreasing,moderate,75476.36,associate degree,1,9087,8881,51.8,47.04,china,71.86
"therapist, art",manufacturing,increasing,high,52859.25,phd,9,6147,9757,77.88,43.19,canada,22.52
web designer,transportation,increasing,moderate,36698.34,high school,19,3511,2846,13.5,45.77,germany,23.82
advertising account executive,entertainment,increasing,moderate,93944.36,associate degree,4,315,9268,47.5,55.39,uk,25.32
lobbyist,retail,increasing,low,61711.6,associate degree,19,3653,5558,70.0,21.5,uk,71.69
licensed conveyancer,transportation,decreasing,high,52426.78,associate degree,19,7806,1302,56.82,86.74,canada,26.32
"engineer, electronics",healthcare,increasing,low,58850.95,master’s degree,5,6177,7362,69.29,98.18,china,27.03
agricultural engineer,finance,decreasing,moderate,108605.52,master’s degree,3,4500,1943,42.93,54.41,germany,63.94
ceramics designer,education,increasing,moderate,129239.01,high school,9,9427,9442,14.76,41.94,brazil,24.27
hydrographic surveyor,it,increasing,moderate,108916.46,master’s degree,18,7372,546,76.97,17.09,india,50.12
adult guidance worker,transportation,decreasing,high,67161.49,master’s degree,2,2902,6198,63.32,72.26,canada,23.74
"education officer, community",transportation,decreasing,low,121647.46,master’s degree,5,2576,7971,3.85,51.4,uk,49.62
"engineer, civil (contracting)",transportation,decreasing,low,77969.46,high school,11,2853,527,31.06,92.98,china,36.73
land,manufacturing,increasing,low,131902.96,master’s degree,2,7131,5518,22.88,86.87,germany,27.23
"engineer, production",it,increasing,low,78823.93,bachelor’s degree,18,7948,2492,21.34,6.48,australia,20.43
"psychologist, occupational",it,decreasing,low,115480.07,high school,2,9642,5596,3.91,66.23,germany,29.1
higher education lecturer,manufacturing,decreasing,moderate,65311.91,phd,19,2596,500,23.3,67.7,germany,30.24
manufacturing systems engineer,healthcare,decreasing,high,110524.52,master’s degree,17,2471,5396,95.15,41.83,china,54.78
patent examiner,transportation,increasing,low,71706.97,phd,8,9623,4901,29.36,62.69,china,47.43
waste management officer,healthcare,increasing,high,143722.3,phd,17,9503,7366,55.46,35.39,uk,58.52
music therapist,education,increasing,low,131340.24,master’s degree,8,1003,4631,81.3,63.62,india,79.86
chief operating officer,healthcare,decreasing,high,114449.15,bachelor’s degree,8,3399,7877,42.45,98.57,germany,36.43
meteorologist,manufacturing,decreasing,high,52724.86,master’s degree,6,9302,510,75.01,9.74,uk,66.69
government social research officer,retail,decreasing,low,45548.61,master’s degree,6,726,3227,41.12,14.55,canada,27.93
horticultural therapist,healthcare,decreasing,high,79919.42,associate degree,13,507,1013,11.37,67.01,germany,58.61
"engineer, production",it,decreasing,high,124252.7,phd,6,4604,7129,22.13,75.5,brazil,67.95
orthoptist,retail,increasing,high,137865.13,associate degree,8,4990,849,53.34,40.18,uk,51.67
trade union research officer,healthcare,decreasing,high,37003.16,phd,19,639,7584,41.02,77.59,china,41.19
careers adviser,finance,increasing,high,93695.36,bachelor’s degree,6,5610,9444,30.45,29.42,australia,78.59
chartered loss adjuster,healthcare,decreasing,low,135559.17,associate degree,18,5894,347,77.54,8.32,canada,48.66
microbiologist,entertainment,increasing,low,144425.42,phd,17,411,9381,99.14,54.56,germany,65.3
clinical psychologist,manufacturing,increasing,low,103564.99,master’s degree,15,9725,7320,44.24,49.36,germany,69.38
film/video editor,healthcare,decreasing,high,71766.57,high school,5,2792,2592,43.06,39.11,germany,68.01
dispensing optician,it,decreasing,low,66149.96,master’s degree,11,4604,7540,27.84,3.42,usa,40.48
"production assistant, television",finance,decreasing,moderate,137360.81,phd,20,1223,1343,90.52,4.57,china,61.28
food technologist,retail,increasing,high,49939.37,master’s degree,12,2224,5713,20.11,43.04,germany,23.44
